CountryName	IndicatorTitle	number-of-%-changes	avg-%-increase	avg-%-decrease	min%	max%	mean%	median%	std-dev%	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	
Albania	Employment to population ratio, 15+, female (%) (national estimate)	14	4.73	7.98	-14.60	14.14	0.19	2.36	7.58	0.00	0.00	6.41	4.63	3.62	2.98	2.53	2.19	-7.61	-14.60	14.14	2.05	-3.60	-11.97	-2.11	4.01
Moldova	Employment to population ratio, 15+, female (%) (national estimate)	15	7.99	6.29	-27.83	27.05	0.38	-0.35	12.31	0.00	-0.35	27.05	-27.83	21.49	-0.51	-9.27	0.02	-0.96	-5.98	-3.87	2.23	-1.51	1.20	1.24	2.70
Mongolia	Employment to population ratio, 15+, female (%) (national estimate)	11	1.14	2.10	-3.95	2.33	-0.33	0.46	1.92	0.00	0.00	0.00	0.00	2.33	-1.84	0.47	0.47	0.46	-1.50	-1.57	-1.65	2.15	-3.95	0.97
Montenegro	Employment to population ratio, 15+, female (%) (national estimate)	10	4.36	1.06	-1.69	6.72	3.27	3.82	2.68	0.00	0.00	0.00	0.00	0.00	0.00	6.11	4.91	4.11	3.53	-1.69	-0.44	2.94	2.16	6.72	4.39
Morocco	Employment to population ratio, 15+, female (%) (national estimate)	15	25.28	8.07	-27.03	70.72	7.50	-0.26	24.80	70.72	29.29	-3.69	3.36	6.03	-1.79	-24.88	31.83	-2.04	-27.03	33.84	-2.22	-2.62	1.93	-0.26
Namibia	Employment to population ratio, 15+, female (%) (national estimate)	8	2.52	0.00	1.32	5.07	2.52	2.11	1.28	0.00	0.00	0.00	0.00	0.00	5.07	3.61	2.80	2.29	1.93	1.67	1.48	1.32
Nepal	Employment to population ratio, 15+, female (%) (national estimate)	15	2.00	1.43	-5.29	2.00	-1.21	-0.86	1.55	-0.50	-0.53	-0.58	-0.63	-0.69	-0.76	-0.86	-0.97	-1.12	-1.33	-1.64	-2.13	-3.04	-5.29	2.00
Netherlands	Employment to population ratio, 15+, female (%) (national estimate)	16	1.48	1.66	-3.55	3.57	0.50	0.62	1.88	3.57	2.77	1.02	0.11	-0.50	0.87	1.80	2.86	1.79	0.36	-3.55	-1.21	0.04	-1.24	-1.78	1.09
New Zealand	Employment to population ratio, 15+, female (%) (national estimate)	16	1.12	1.15	-1.90	2.11	0.70	0.98	1.09	1.01	2.11	1.18	0.90	1.42	2.10	0.76	0.99	0.22	-1.90	-1.05	0.99	-0.50	0.97	1.74	0.20
Nicaragua	Employment to population ratio, 15+, female (%) (national estimate)	7	4.28	0.00	1.92	9.93	4.28	3.22	2.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.93	5.86	4.15	3.22	2.63	2.22	1.92
North America	Employment to population ratio, 15+, female (%) (national estimate)	16	0.35	0.87	-3.08	0.68	-0.34	-0.07	0.94	0.23	-0.73	-0.99	-0.06	-0.20	0.42	0.68	0.19	-0.61	-3.08	-1.42	-0.65	-0.08	0.09	0.52	0.32
Northern Mariana Islands	Employment to population ratio, 15+, female (%) (national estimate)	11	23.39	8.00	-15.88	142.57	11.97	0.33	43.94	0.37	0.35	0.33	0.31	-3.66	-4.93	-7.52	-15.88	142.57	12.98	6.80
Norway	Employment to population ratio, 15+, female (%) (national estimate)	16	1.00	1.88	-8.08	2.62	-0.69	-0.07	2.35	-0.07	0.04	0.91	-1.79	0.00	-1.11	0.52	2.62	1.80	-1.47	-1.91	-0.06	0.09	-0.78	-8.08	-1.68
OECD members	Employment to population ratio, 15+, female (%) (national estimate)	16	0.52	0.48	-1.44	1.06	0.27	0.30	0.60	0.54	0.24	-0.07	-0.13	0.36	0.89	1.06	0.79	0.32	-1.44	-0.28	0.11	0.42	0.28	0.29	0.89
Pakistan	Employment to population ratio, 15+, female (%) (national estimate)	15	4.69	2.86	-2.86	11.76	4.19	3.13	3.53	-2.86	3.13	2.94	7.63	6.62	11.76	9.52	1.92	2.40	1.62	3.08	4.69	3.95	3.41	3.00
Palau	Employment to population ratio, 15+, female (%) (national estimate)	1	0.57	0.00	0.57	0.57	0.57	0.57	NaN	0.57
Panama	Employment to population ratio, 15+, female (%) (national estimate)	16	3.24	4.33	-11.18	5.43	1.82	3.01	4.08	4.72	4.13	3.68	1.66	3.50	4.85	-0.69	5.43	4.63	-11.18	-1.12	0.07	4.87	2.52	0.06	1.96
Paraguay	Employment to population ratio, 15+, female (%) (national estimate)	16	2.55	4.51	-7.36	16.09	1.22	0.09	5.40	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	16.09	-3.30	2.79	10.62	-2.86	-7.36	2.81
Peru	Employment to population ratio, 15+, female (%) (national estimate)	13	2.39	0.95	-2.15	4.21	0.85	0.31	2.02	0.00	0.00	0.00	4.21	-1.62	-0.10	3.02	1.90	-2.15	2.67	3.24	-0.79	0.31	1.39	-0.43	-0.61
Philippines	Employment to population ratio, 15+, female (%) (national estimate)	16	1.89	1.04	-2.04	6.40	0.61	0.42	2.05	-0.98	6.40	2.10	-2.04	-0.77	0.62	0.84	0.22	-1.49	2.02	0.89	1.60	-0.81	-0.32	2.30	-0.88
Poland	Employment to population ratio, 15+, female (%) (national estimate)	16	2.20	1.62	-4.59	4.62	0.29	0.08	2.46	-4.59	-1.69	-3.38	-1.13	-1.12	1.45	2.83	4.62	3.42	0.65	-0.83	-0.07	0.23	-0.19	2.43	1.94
Portugal	Employment to population ratio, 15+, female (%) (national estimate)	16	0.88	1.89	-3.51	1.83	-0.33	0.13	1.62	1.35	1.23	0.69	-0.78	-0.77	0.22	0.16	0.10	0.59	-1.79	-1.60	-3.51	-2.72	-2.03	1.83	1.71
Post-demographic dividend	Employment to population ratio, 15+, female (%) (national estimate)	16	0.55	0.49	-1.59	1.17	0.29	0.36	0.63	0.61	0.42	-0.01	0.29	0.43	1.17	0.77	0.84	0.28	-1.59	-0.27	-0.10	0.15	0.29	0.77	0.57
Puerto Rico	Employment to population ratio, 15+, female (%) (national estimate)	16	2.08	2.56	-6.22	4.93	-1.11	-1.45	2.76	2.01	-0.84	-0.86	2.67	0.37	4.93	0.41	-1.17	-2.75	-1.72	-1.96	-2.27	-2.70	-3.32	-4.33	-6.22
Qatar	Employment to population ratio, 15+, female (%) (national estimate)	16	3.54	1.73	-2.65	7.71	2.88	2.23	2.88	1.73	1.55	1.40	1.27	1.17	7.71	6.26	5.27	3.04	-2.65	5.42	-0.81	1.05	2.73	3.84	7.14
Romania	Employment to population ratio, 15+, female (%) (national estimate)	16	1.25	2.24	-11.72	2.39	-1.59	-1.06	3.09	-1.70	-1.50	-11.72	-3.08	-0.50	-4.05	2.39	-0.04	-0.60	-1.59	-1.32	-0.51	0.74	-0.81	0.60	-1.75
Russian Federation	Employment to population ratio, 15+, female (%) (national estimate)	16	3.17	1.90	-6.78	13.57	1.58	1.11	4.46	13.57	0.07	-6.78	-1.73	1.36	1.54	1.63	2.29	-0.11	9.16	0.61	2.25	1.52	-0.53	0.85	-0.35
Rwanda	Employment to population ratio, 15+, female (%) (national estimate)	13	5.48	7.18	-7.18	48.06	4.51	1.02	13.38	-7.18	48.06	5.53	2.93	2.00	1.51	1.22	1.02	0.88	0.77	0.68	0.62	0.56
Samoa	Employment to population ratio, 15+, female (%) (national estimate)	15	1827.88	10.19	-16.68	18246.10	1216.55	1.26	4711.09	0.22	0.21	1.68	1.55	1.44	1.34	1.26	-5.56	-8.34	-16.68	18246.10	16.65	8.33	0.00	0.00
San Marino	Employment to population ratio, 15+, female (%) (national estimate)	16	0.39	0.00	0.25	0.67	0.39	0.36	0.13	0.67	0.60	0.54	0.50	0.46	0.43	0.40	0.37	0.35	0.33	0.31	0.30	0.28	0.27	0.26	0.25
Sao Tome and Principe	Employment to population ratio, 15+, female (%) (national estimate)	7	1.15	0.00	0.70	1.92	1.15	1.03	0.43	1.92	1.49	1.22	1.03	0.89	0.79	0.70
Saudi Arabia	Employment to population ratio, 15+, female (%) (national estimate)	8	3.63	2.16	-4.69	5.12	1.01	0.28	3.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-1.41	-4.69	4.62	4.23	0.00	-0.38	0.57	5.12
Senegal	Employment to population ratio, 15+, female (%) (national estimate)	5	4.14	0.00	2.77	6.19	4.14	3.82	1.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.19	4.73	3.82	3.21	2.77
Serbia	Employment to population ratio, 15+, female (%) (national estimate)	10	6.95	5.13	-8.36	7.84	0.91	2.36	6.73	0.00	0.00	0.00	0.00	0.00	0.00	-2.70	5.59	7.84	-6.80	-8.36	-6.90	-0.86	7.17	7.18	6.97
Seychelles	Employment to population ratio, 15+, female (%) (national estimate)	4	1.78	0.00	1.60	1.97	1.78	1.77	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.97	1.83	1.70	1.60
Singapore	Employment to population ratio, 15+, female (%) (national estimate)	16	3.27	3.84	-7.01	12.18	1.93	1.34	4.50	9.84	1.67	1.52	1.39	1.28	1.19	1.11	-1.59	4.73	-2.93	4.65	0.93	1.47	0.54	12.18	-7.01
Slovak Republic	Employment to population ratio, 15+, female (%) (national estimate)	16	1.54	1.83	-3.48	2.81	0.28	0.59	1.97	-2.03	1.22	-1.23	2.37	-2.98	0.50	1.84	2.17	2.81	-3.48	-1.05	-0.21	0.05	0.69	1.12	2.61
Slovenia	Employment to population ratio, 15+, female (%) (national estimate)	16	1.67	1.86	-4.09	5.96	-0.10	0.14	2.39	0.36	0.57	1.25	-4.09	5.96	-0.55	0.55	1.58	1.47	-0.90	-1.94	-2.97	-1.48	-2.89	1.63	-0.09
Solomon Islands	Employment to population ratio, 15+, female (%) (national estimate)	10	0.35	0.00	0.30	0.41	0.35	0.34	0.04	0.41	0.39	0.38	0.36	0.35	0.34	0.33	0.32	0.31	0.30
South Africa	Employment to population ratio, 15+, female (%) (national estimate)	15	3.07	2.16	-7.88	5.94	-0.76	-0.47	3.43	0.00	-7.88	-1.20	-0.43	-0.44	-0.46	-0.47	-0.48	-0.50	4.84	-5.11	0.70	0.81	5.94	-3.26	-3.49
South Asia	Employment to population ratio, 15+, female (%) (national estimate)	9	0.00	6.75	-23.69	-2.08	-6.75	-4.13	6.96	0.00	0.00	0.00	0.00	0.00	0.00	-4.13	-5.20	-7.03	-10.84	-23.69	-2.08	-2.17	-2.71	-2.86
South Asia (IDA & IBRD)	Employment to population ratio, 15+, female (%) (national estimate)	9	0.00	6.75	-23.69	-2.08	-6.75	-4.13	6.96	0.00	0.00	0.00	0.00	0.00	0.00	-4.13	-5.20	-7.03	-10.84	-23.69	-2.08	-2.17	-2.71	-2.86
Spain	Employment to population ratio, 15+, female (%) (national estimate)	16	3.82	2.25	-4.03	7.38	1.92	2.73	3.47	7.38	3.64	5.24	3.99	3.97	7.01	3.79	2.94	0.39	-4.03	-1.21	-0.75	-3.00	-2.27	1.17	2.52
Sri Lanka	Employment to population ratio, 15+, female (%) (national estimate)	16	12.49	7.32	-34.82	51.90	2.59	-1.07	17.25	0.13	-5.08	3.55	-2.28	-2.45	-2.65	18.20	-5.63	4.05	2.25	-34.82	51.90	-3.35	7.61	-2.29	12.25
St. Lucia	Employment to population ratio, 15+, female (%) (national estimate)	12	4.82	0.84	-5.19	7.61	0.58	-0.12	3.10	0.00	0.00	0.00	0.00	-0.12	-0.12	-0.12	-0.12	-0.12	7.61	-1.06	3.66	3.18	-5.19	-0.35	-0.35
Suriname	Employment to population ratio, 15+, female (%) (national estimate)	15	1.41	1.38	-1.38	5.13	1.23	0.85	1.43	5.13	2.98	2.10	1.63	1.32	1.12	0.97	0.85	0.76	0.69	0.63	0.58	0.53	0.50	-1.38
Sweden	Employment to population ratio, 15+, female (%) (national estimate)	16	2.40	1.02	-2.24	12.37	1.33	0.74	3.34	2.07	4.47	-0.05	-0.09	-1.80	-0.93	0.92	1.62	0.09	-2.24	12.37	1.97	0.64	0.43	0.84	1.00
Switzerland	Employment to population ratio, 15+, female (%) (national estimate)	16	1.06	0.90	-1.82	2.85	0.45	0.64	1.16	-0.50	1.72	1.20	-1.18	-0.86	0.04	1.12	0.49	2.85	-0.14	-1.82	0.71	0.57	1.06	1.03	0.90
Syrian Arab Republic	Employment to population ratio, 15+, female (%) (national estimate)	11	8.88	21.85	-70.25	12.43	-11.48	-9.25	22.42	12.43	-20.62	7.81	-16.29	-7.45	-10.61	-18.44	-70.25	6.41	-9.25	0.00
Tanzania	Employment to population ratio, 15+, female (%) (national estimate)	13	1.21	4.21	-4.39	9.57	0.38	0.37	3.25	0.00	0.00	0.45	0.43	0.41	0.40	0.38	0.37	0.35	0.34	0.33	0.32	-4.04	-4.39	9.57
Thailand	Employment to population ratio, 15+, female (%) (national estimate)	16	2.08	1.34	-3.38	4.42	0.15	-0.20	2.10	1.68	4.42	1.33	-0.17	0.50	1.89	-1.82	1.43	-0.29	-2.31	-0.24	3.29	-0.73	-3.38	-1.29	-1.86
Tonga	Employment to population ratio, 15+, female (%) (national estimate)	4	0.00	15.16	-39.82	-4.25	-15.16	-8.29	16.65	-4.25	-6.06	-10.51	-39.82
Trinidad and Tobago	Employment to population ratio, 15+, female (%) (national estimate)	16	2.57	2.54	-3.62	4.98	1.29	1.10	2.72	2.71	0.93	0.91	4.98	4.33	3.83	3.99	-1.81	4.20	-3.51	-1.21	1.11	1.08	1.04	1.68	-3.62
Tunisia	Employment to population ratio, 15+, female (%) (national estimate)	14	1.15	6.70	-10.28	6.09	-0.06	0.44	3.53	0.57	0.54	0.50	0.47	0.45	0.43	0.41	0.39	0.05	-3.13	0.00	-10.28	6.09	2.71
Turkey	Employment to population ratio, 15+, female (%) (national estimate)	16	3.43	5.07	-8.67	7.76	0.25	1.68	4.87	-7.33	4.58	0.50	-8.67	-4.06	-2.97	-5.75	0.24	2.85	3.15	7.76	6.33	3.01	2.96	-1.62	2.96
Uganda	Employment to population ratio, 15+, female (%) (national estimate)	11	32.96	2.20	-8.95	60.61	7.39	-1.11	20.08	0.00	0.00	0.00	-8.95	60.61	27.40	-0.96	-1.03	-1.11	-1.20	-1.31	-1.44	-1.60	10.87
Ukraine	Employment to population ratio, 15+, female (%) (national estimate)	11	0.81	0.62	-0.86	1.26	-0.23	-0.46	0.72	0.00	0.00	0.00	0.00	0.00	0.51	-0.23	1.26	0.65	-0.31	-0.73	-0.76	-0.79	-0.82	-0.86	-0.46
United Arab Emirates	Employment to population ratio, 15+, female (%) (national estimate)	10	1.11	0.00	0.63	1.93	1.11	0.89	0.47	0.93	0.85	0.78	0.73	0.68	0.63	1.59	1.52	1.45	1.93
United Kingdom	Employment to population ratio, 15+, female (%) (national estimate)	16	0.72	0.59	-1.09	1.78	0.39	0.47	0.73	1.06	0.58	0.77	0.15	0.55	0.74	0.21	-0.40	0.38	-1.09	-0.63	-0.25	0.31	1.01	1.78	1.06
United States	Employment to population ratio, 15+, female (%) (national estimate)	16	0.35	1.00	-3.25	0.68	-0.41	-0.18	1.01	0.10	-0.85	-1.28	-0.25	-0.29	0.48	0.68	0.04	-0.69	-3.25	-1.56	-0.71	-0.11	0.06	0.68	0.41
Uruguay	Employment to population ratio, 15+, female (%) (national estimate)	16	2.84	1.94	-2.75	5.80	1.35	1.12	2.84	-1.70	0.05	-2.60	-2.75	3.96	3.67	4.13	5.80	3.74	0.43	1.81	4.93	-0.62	-2.04	2.62	0.10
Uzbekistan	Employment to population ratio, 15+, female (%) (national estimate)	5	3.98	1.26	-1.26	11.98	2.93	1.47	5.19	0.00	0.00	0.00	1.47	11.98	0.86	1.60	-1.26
Venezuela, RB	Employment to population ratio, 15+, female (%) (national estimate)	16	2.23	0.94	-3.16	10.04	0.84	0.53	2.82	0.67	10.04	-0.89	1.20	1.18	-0.22	-0.67	1.32	1.12	0.40	-1.40	1.05	-0.13	-0.11	3.06	-3.16
Vietnam	Employment to population ratio, 15+, female (%) (national estimate)	11	0.83	1.04	-1.04	1.34	0.66	0.65	0.69	0.00	0.00	0.00	0.00	0.00	1.34	1.25	1.18	1.11	1.06	0.63	0.14	0.65	0.64	0.26	-1.04
West Bank and Gaza	Employment to population ratio, 15+, female (%) (national estimate)	6	8.46	3.63	-5.88	10.41	0.40	-2.39	6.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-5.88	10.41	-1.77	-3.86	6.51	-3.01
Yemen, Rep.	Employment to population ratio, 15+, female (%) (national estimate)	11	4.64	18.26	-24.07	17.32	-1.60	1.79	12.39	-7.03	-23.67	17.32	6.34	3.88	2.80	2.18	1.79	1.52	1.32	-24.07
Zambia	Employment to population ratio, 15+, female (%) (national estimate)	1	1.03	0.00	1.03	1.03	1.03	1.03	NaN	1.03
Zimbabwe	Employment to population ratio, 15+, female (%) (national estimate)	15	16.24	3.45	-28.12	22.68	1.80	-0.23	11.60	-2.54	-2.75	-3.00	15.07	11.58	-0.22	-0.22	-0.22	-0.23	-0.23	-0.23	-0.24	-28.12	22.68	15.60
