CountryName	IndicatorTitle	number-of-%-changes	avg-%-increase	avg-%-decrease	min%	max%	mean%	median%	std-dev%	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	
Albania	Employment to population ratio, 15+, male (%) (national estimate)	14	2.18	6.22	-9.97	10.92	-0.82	0.67	5.45	0.00	0.00	0.78	0.74	0.71	0.68	0.65	0.63	-0.80	-9.97	10.92	-6.94	-3.43	-9.96	0.75	3.80
Middle East & North Africa (IDA & IBRD)	Employment to population ratio, 15+, male (%) (national estimate)	3	7.33	10.63	-10.63	11.43	1.34	3.23	11.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-10.63	11.43	3.23
Middle East & North Africa (excluding high income)	Employment to population ratio, 15+, male (%) (national estimate)	3	3.20	0.31	-0.31	3.20	0.86	-0.31	2.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.31	-0.31	3.20
Moldova	Employment to population ratio, 15+, male (%) (national estimate)	15	8.41	6.07	-29.84	28.56	0.69	-0.74	12.73	0.00	-1.26	28.56	-29.84	21.88	-1.57	-0.74	-1.58	0.92	-5.80	-4.18	3.11	-3.59	3.11	0.69	0.57
Mongolia	Employment to population ratio, 15+, male (%) (national estimate)	11	1.27	0.92	-2.69	3.17	0.47	0.02	1.75	0.00	0.00	0.00	0.00	-2.69	-0.17	0.02	0.02	0.02	3.17	2.89	2.66	0.11	-0.57	-0.24
Montenegro	Employment to population ratio, 15+, male (%) (national estimate)	10	3.35	2.98	-4.80	7.60	1.45	2.45	3.59	0.00	0.00	0.00	0.00	0.00	0.00	3.69	3.22	2.85	2.56	-3.09	-4.80	2.34	-1.05	7.60	1.21
Morocco	Employment to population ratio, 15+, male (%) (national estimate)	15	21.82	7.79	-28.04	51.47	6.03	-0.01	22.43	51.47	25.36	0.04	-2.89	1.23	-1.01	-26.89	36.79	0.18	-28.04	37.64	-0.01	-1.18	-1.25	-1.02
Namibia	Employment to population ratio, 15+, male (%) (national estimate)	8	1.41	0.00	0.96	2.09	1.41	1.32	0.39	0.00	0.00	0.00	0.00	0.00	2.09	1.79	1.57	1.39	1.25	1.14	1.04	0.96
Nepal	Employment to population ratio, 15+, male (%) (national estimate)	15	1.57	0.92	-2.19	1.57	-0.75	-0.70	0.81	-0.44	-0.47	-0.50	-0.54	-0.58	-0.63	-0.70	-0.77	-0.86	-0.98	-1.14	-1.36	-1.67	-2.19	1.57
Netherlands	Employment to population ratio, 15+, male (%) (national estimate)	16	0.90	1.45	-3.50	1.94	-0.42	-0.38	1.47	1.94	0.81	0.35	-2.33	-1.15	-0.76	1.18	1.34	0.55	-1.02	-3.50	-1.58	-0.36	-1.93	-0.40	0.14
New Zealand	Employment to population ratio, 15+, male (%) (national estimate)	16	1.01	1.04	-2.82	1.92	0.24	0.44	1.25	1.29	1.19	1.32	-0.30	1.92	0.77	0.66	0.22	-1.26	-2.82	-0.43	0.21	-1.26	0.91	1.59	-0.16
Nicaragua	Employment to population ratio, 15+, male (%) (national estimate)	7	2.46	0.00	1.51	4.12	2.46	2.21	0.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.12	3.20	2.61	2.21	1.91	1.69	1.51
North America	Employment to population ratio, 15+, male (%) (national estimate)	16	0.47	1.79	-5.62	0.70	-0.52	0.17	1.60	0.39	-1.35	-1.44	-0.97	0.39	0.53	0.59	-0.35	-1.62	-5.62	-1.16	0.33	0.70	0.02	0.63	0.63
Northern Mariana Islands	Employment to population ratio, 15+, male (%) (national estimate)	11	0.28	2.48	-4.17	0.31	-1.48	-1.69	1.58	0.31	0.29	0.28	0.26	-1.52	-1.69	-1.92	-2.22	-2.63	-3.23	-4.17
Norway	Employment to population ratio, 15+, male (%) (national estimate)	16	0.72	1.91	-9.51	1.50	-0.92	-0.53	2.54	0.36	-0.46	-0.71	-2.12	-0.71	-0.22	0.59	1.50	1.22	-2.66	-1.30	-0.60	0.31	-0.78	-9.51	0.33
OECD members	Employment to population ratio, 15+, male (%) (national estimate)	16	0.70	1.09	-3.54	2.76	-0.30	-0.27	1.36	0.11	-0.57	-1.05	-0.81	-2.21	2.76	0.47	0.26	-0.58	-3.54	-0.47	0.27	0.05	-0.33	-0.20	1.02
Pakistan	Employment to population ratio, 15+, male (%) (national estimate)	15	2.56	1.34	-3.56	5.37	0.74	0.26	2.54	-1.73	-0.39	-0.39	0.26	0.26	1.61	1.56	-1.62	-0.64	-3.56	-1.03	5.37	4.42	3.75	3.26
Palau	Employment to population ratio, 15+, male (%) (national estimate)	1	0.35	0.00	0.35	0.35	0.35	0.35	NaN	0.35
Panama	Employment to population ratio, 15+, male (%) (national estimate)	16	1.95	2.47	-11.41	3.44	0.29	0.94	3.43	2.34	2.19	2.06	0.98	3.07	0.90	0.69	1.88	3.44	-11.41	-0.81	-0.43	1.91	-0.26	-1.12	-0.81
Paraguay	Employment to population ratio, 15+, male (%) (national estimate)	16	4.96	0.36	-1.35	10.94	0.63	-0.03	2.89	-0.03	-0.03	-0.03	-0.03	-0.03	-0.03	-0.03	-0.03	2.25	10.94	-1.02	-0.73	1.69	-1.35	-0.34	-1.05
Peru	Employment to population ratio, 15+, male (%) (national estimate)	13	2.16	0.67	-1.14	8.23	0.85	0.03	2.50	0.00	0.00	0.00	8.23	-0.20	0.41	0.91	2.25	-0.25	-1.14	2.61	0.68	-0.51	0.03	-0.91	-1.04
Philippines	Employment to population ratio, 15+, male (%) (national estimate)	16	1.11	0.71	-1.82	1.48	0.09	-0.16	1.06	0.77	1.48	-1.06	1.47	1.39	-1.82	-0.14	-0.30	-0.29	0.53	-0.18	0.99	-0.59	-0.59	1.15	-1.42
Poland	Employment to population ratio, 15+, male (%) (national estimate)	16	2.44	1.74	-4.33	4.18	0.35	0.34	2.65	-3.71	-2.99	-4.33	-1.30	0.74	3.62	3.22	4.18	4.05	-0.24	-1.21	0.81	-0.05	-0.10	1.77	1.10
Portugal	Employment to population ratio, 15+, male (%) (national estimate)	16	1.06	2.01	-4.80	2.07	-1.05	-0.68	1.98	1.02	0.93	-0.15	-2.53	-1.07	-1.71	0.39	-0.29	-0.19	-4.24	-1.73	-3.05	-4.80	-2.32	2.07	0.90
Post-demographic dividend	Employment to population ratio, 15+, male (%) (national estimate)	16	0.29	0.97	-3.89	0.56	-0.34	-0.19	1.05	0.14	-0.54	-0.78	-0.60	-0.43	0.54	0.56	0.35	-0.59	-3.89	-0.55	0.02	0.22	-0.40	0.07	0.40
Puerto Rico	Employment to population ratio, 15+, male (%) (national estimate)	16	1.79	2.63	-5.17	3.30	-1.80	-2.13	2.14	-0.95	-2.15	-2.25	0.44	1.62	3.30	-1.62	-2.80	-4.36	-1.63	-1.84	-2.11	-2.48	-3.00	-3.79	-5.17
Qatar	Employment to population ratio, 15+, male (%) (national estimate)	16	0.61	0.15	-0.29	1.47	0.42	0.20	0.57	0.20	0.20	0.20	0.20	0.19	1.47	1.41	1.35	0.95	0.28	-0.07	-0.29	-0.01	0.57	-0.24	0.35
Romania	Employment to population ratio, 15+, male (%) (national estimate)	16	1.25	2.18	-8.66	2.33	-0.68	-0.62	2.58	-1.50	-1.46	-8.66	-1.06	-2.17	-1.05	1.30	1.04	0.84	-0.97	2.33	-2.46	1.81	-0.27	1.16	0.25
Russian Federation	Employment to population ratio, 15+, male (%) (national estimate)	16	1.84	1.11	-2.56	6.51	1.10	1.21	1.99	6.51	-0.38	-2.56	-1.49	1.13	1.30	0.54	2.96	1.68	1.63	1.56	1.93	1.73	-0.01	0.85	0.20
Rwanda	Employment to population ratio, 15+, male (%) (national estimate)	13	2.00	14.56	-24.15	8.43	-0.54	0.93	7.65	-4.97	-24.15	8.43	3.59	2.28	1.67	1.32	1.09	0.93	0.81	0.72	0.64	0.58
Samoa	Employment to population ratio, 15+, male (%) (national estimate)	15	8.29	8.83	-50.44	24.89	-1.95	-0.11	15.71	0.16	0.16	-0.11	-0.11	-0.11	-0.11	-0.11	-7.15	-12.53	-50.44	24.89	9.98	6.24	0.00	0.00
San Marino	Employment to population ratio, 15+, male (%) (national estimate)	16	0.33	0.00	0.22	0.52	0.33	0.31	0.09	0.52	0.47	0.44	0.41	0.38	0.36	0.34	0.32	0.30	0.29	0.27	0.26	0.25	0.24	0.23	0.22
Sao Tome and Principe	Employment to population ratio, 15+, male (%) (national estimate)	7	0.86	0.00	0.59	1.26	0.86	0.80	0.24	1.26	1.06	0.91	0.80	0.72	0.65	0.59
Saudi Arabia	Employment to population ratio, 15+, male (%) (national estimate)	8	1.34	0.25	-0.39	2.18	0.75	0.64	0.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.50	-0.24	1.66	1.61	2.18	0.77	-0.12	-0.39
Senegal	Employment to population ratio, 15+, male (%) (national estimate)	5	0.00	0.16	-0.17	-0.16	-0.16	-0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.16	-0.16	-0.16	-0.17	-0.17
Serbia	Employment to population ratio, 15+, male (%) (national estimate)	10	4.81	5.38	-7.86	6.88	-0.28	0.58	5.84	0.00	0.00	0.00	0.00	0.00	0.00	-5.91	1.95	5.73	-7.58	-7.86	-4.77	-0.79	5.63	3.87	6.88
Seychelles	Employment to population ratio, 15+, male (%) (national estimate)	4	2.29	0.00	1.99	2.62	2.29	2.27	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.62	2.37	2.16	1.99
Singapore	Employment to population ratio, 15+, male (%) (national estimate)	16	2.15	2.66	-9.55	11.61	0.65	0.16	4.32	7.06	0.16	0.16	0.16	0.16	0.16	0.16	-1.16	1.55	-1.51	1.80	-0.82	0.69	-0.27	11.61	-9.55
Slovak Republic	Employment to population ratio, 15+, male (%) (national estimate)	16	1.79	2.51	-3.88	3.60	0.45	0.80	2.40	-3.88	0.49	0.22	2.67	-0.69	2.87	3.60	1.97	2.47	-3.52	-3.61	1.01	0.60	-0.86	1.47	2.35
Slovenia	Employment to population ratio, 15+, male (%) (national estimate)	16	1.62	1.66	-3.18	4.13	-0.22	-0.61	2.04	-1.08	2.82	-0.16	-2.85	4.13	0.36	0.74	2.07	-1.15	-2.24	-1.90	-3.18	-1.30	-1.06	0.89	0.35
Solomon Islands	Employment to population ratio, 15+, male (%) (national estimate)	10	0.00	0.36	-0.43	-0.31	-0.36	-0.36	0.04	-0.31	-0.32	-0.33	-0.34	-0.35	-0.37	-0.38	-0.39	-0.41	-0.43
South Africa	Employment to population ratio, 15+, male (%) (national estimate)	15	1.24	1.43	-6.82	2.52	-0.72	-0.35	2.21	0.00	-6.82	1.67	-0.33	-0.33	-0.34	-0.35	-0.36	-0.36	0.55	-4.08	-0.52	0.21	2.52	-1.12	-1.14
South Asia	Employment to population ratio, 15+, male (%) (national estimate)	9	0.12	1.48	-2.64	0.12	-1.13	-1.04	0.96	0.00	0.00	0.00	0.00	0.00	0.00	-0.94	-0.99	-1.04	-1.10	-1.16	0.12	0.12	-2.50	-2.64
South Asia (IDA & IBRD)	Employment to population ratio, 15+, male (%) (national estimate)	9	0.12	1.48	-2.64	0.12	-1.13	-1.04	0.96	0.00	0.00	0.00	0.00	0.00	0.00	-0.94	-0.99	-1.04	-1.10	-1.16	0.12	0.12	-2.50	-2.64
Spain	Employment to population ratio, 15+, male (%) (national estimate)	16	1.54	4.41	-9.60	3.36	-0.69	0.52	3.47	2.45	1.99	0.50	0.69	0.54	2.70	1.23	0.17	-3.68	-9.60	-3.03	-2.58	-5.19	-2.40	1.78	3.36
Sri Lanka	Employment to population ratio, 15+, male (%) (national estimate)	16	2.05	0.93	-2.39	5.37	0.92	0.15	2.00	1.37	-2.39	2.09	0.00	0.00	0.00	2.24	0.05	0.96	4.98	5.37	-0.54	1.14	-0.38	-0.41	0.26
St. Lucia	Employment to population ratio, 15+, male (%) (national estimate)	12	1.61	1.41	-2.06	2.81	-0.15	-0.98	1.67	0.00	0.00	0.00	0.00	-1.22	-1.30	-1.39	-1.50	-1.62	2.81	0.43	-0.75	2.05	-2.06	1.41	1.37
Suriname	Employment to population ratio, 15+, male (%) (national estimate)	15	1.01	0.10	-0.10	2.62	0.94	0.73	0.67	2.62	1.92	1.51	1.25	1.06	0.92	0.82	0.73	0.67	0.61	0.56	0.52	0.49	0.45	-0.10
Sweden	Employment to population ratio, 15+, male (%) (national estimate)	16	1.96	1.47	-4.13	9.71	0.89	0.48	2.97	1.03	4.83	-0.64	-0.84	-1.32	0.21	1.52	1.38	0.52	-4.13	9.71	1.01	-0.41	0.44	0.66	0.29
Switzerland	Employment to population ratio, 15+, male (%) (national estimate)	16	0.73	0.75	-1.97	0.97	-0.38	-0.33	0.85	-0.04	0.12	-1.97	-0.97	-1.20	-1.08	0.93	0.97	-0.31	-1.27	-0.41	0.90	-0.34	-0.92	-0.18	-0.29
Syrian Arab Republic	Employment to population ratio, 15+, male (%) (national estimate)	11	3.24	2.24	-5.67	8.65	-0.75	-0.30	3.79	8.65	-4.03	-3.03	-5.67	-0.29	-0.30	-0.30	-0.30	-4.00	1.03	0.04
Tanzania	Employment to population ratio, 15+, male (%) (national estimate)	13	1.06	0.23	-0.24	7.43	0.86	0.41	1.99	0.00	0.00	0.51	0.49	0.46	0.44	0.42	0.41	0.39	0.38	0.36	0.35	-0.23	-0.24	7.43
Thailand	Employment to population ratio, 15+, male (%) (national estimate)	16	1.46	0.67	-1.48	5.24	0.26	-0.19	1.58	0.98	5.24	1.02	-0.34	0.98	-0.20	-0.19	0.60	-0.26	-0.70	-0.43	1.28	0.14	-0.99	-1.47	-1.48
Tonga	Employment to population ratio, 15+, male (%) (national estimate)	4	11.71	43.65	-43.65	21.23	-2.13	6.94	28.52	-43.65	21.23	8.54	5.34
Trinidad and Tobago	Employment to population ratio, 15+, male (%) (national estimate)	16	0.96	0.74	-1.79	1.26	0.21	0.78	0.98	1.09	0.85	0.84	1.03	1.00	0.97	0.72	1.26	-0.48	-1.34	-1.79	-0.11	-0.12	-0.12	0.85	-1.24
Tunisia	Employment to population ratio, 15+, male (%) (national estimate)	14	0.99	0.95	-3.80	1.57	-0.12	-0.46	1.32	-0.45	-0.47	-0.50	-0.53	-0.57	-0.61	-0.66	0.82	0.65	0.93	1.57	-3.80	0.77	1.20
Turkey	Employment to population ratio, 15+, male (%) (national estimate)	16	19.34	5.69	-45.43	88.93	2.13	-0.50	25.79	-0.96	-0.84	-4.09	-3.98	-45.43	88.93	-2.87	-0.30	-0.35	-2.96	3.21	3.86	-0.17	0.40	-0.66	0.29
Uganda	Employment to population ratio, 15+, male (%) (national estimate)	11	32.49	3.59	-22.06	58.32	6.25	-0.88	20.83	0.00	0.00	0.00	-22.06	58.32	26.92	-0.78	-0.83	-0.88	-0.94	-1.00	-1.08	-1.17	12.22
Ukraine	Employment to population ratio, 15+, male (%) (national estimate)	11	1.52	0.89	-4.80	3.19	0.21	-0.10	1.95	0.00	0.00	0.00	0.00	0.00	3.19	1.00	1.29	1.45	-4.80	-0.10	-0.10	-0.10	-0.10	-0.11	0.68
United Arab Emirates	Employment to population ratio, 15+, male (%) (national estimate)	10	0.00	0.43	-1.09	-0.03	-0.43	-0.03	0.52	-0.03	-0.03	-0.03	-0.03	-0.03	-0.03	-1.03	-1.06	-1.09	-0.97
United Kingdom	Employment to population ratio, 15+, male (%) (national estimate)	16	0.53	0.79	-3.45	1.50	-0.05	0.05	1.07	0.76	0.08	-0.62	0.55	-0.05	0.21	-0.14	0.02	-0.32	-3.45	-0.58	-0.38	0.46	0.25	1.50	0.90
United States	Employment to population ratio, 15+, male (%) (national estimate)	16	0.51	1.94	-5.77	0.81	-0.56	0.15	1.68	0.33	-1.42	-1.64	-1.16	0.42	0.59	0.68	-0.44	-1.81	-5.77	-1.33	0.28	0.81	0.02	0.75	0.71
Uruguay	Employment to population ratio, 15+, male (%) (national estimate)	16	2.24	1.99	-3.50	6.93	0.39	0.31	2.73	-2.49	-0.30	-3.27	-3.50	2.48	2.36	6.93	3.04	0.22	1.62	-1.48	2.54	-1.63	0.40	0.56	-1.23
Uzbekistan	Employment to population ratio, 15+, male (%) (national estimate)	5	3.37	2.42	-3.93	5.72	1.06	1.39	3.69	0.00	0.00	0.00	-0.91	-3.93	3.01	1.39	5.72
Venezuela, RB	Employment to population ratio, 15+, male (%) (national estimate)	16	0.88	0.78	-2.09	1.67	0.05	0.04	0.98	-0.67	1.26	-2.09	0.90	0.89	0.71	-0.39	0.61	0.68	-0.79	-0.59	0.31	-0.67	-0.23	1.67	-0.83
Vietnam	Employment to population ratio, 15+, male (%) (national estimate)	11	0.82	0.35	-0.35	1.48	0.72	1.04	0.62	0.00	0.00	0.00	0.00	0.00	1.31	1.23	1.16	1.10	1.04	1.48	0.22	0.09	0.09	0.52	-0.35
West Bank and Gaza	Employment to population ratio, 15+, male (%) (national estimate)	6	2.97	1.17	-1.24	8.02	1.59	0.67	3.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.11	8.02	-1.10	0.24	-1.24	2.50
Yemen, Rep.	Employment to population ratio, 15+, male (%) (national estimate)	11	0.54	10.10	-10.10	0.69	-0.43	0.51	3.21	0.69	0.64	0.61	0.57	0.54	0.51	0.49	0.46	0.44	0.43	-10.10
Zambia	Employment to population ratio, 15+, male (%) (national estimate)	1	0.91	0.00	0.91	0.91	0.91	0.91	NaN	0.91
Zimbabwe	Employment to population ratio, 15+, male (%) (national estimate)	15	11.31	2.44	-19.60	13.40	1.23	-0.11	8.00	-2.03	-2.16	-2.31	11.76	9.52	-0.10	-0.10	-0.10	-0.11	-0.11	-0.11	-0.11	-19.60	13.40	10.57
